D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,,,,0.0,test,2.0,16.0,20.0,4.0,8.0,0.13
0.0,,,,,0.0,test,6.0,26.0,32.0,10.0,16.0,0.226
0.0,,,,,0.0,test,8.0,32.0,40.0,12.0,20.0,0.286
0.0,,,,,0.0,test,14.000000000000002,46.0,57.99999999999999,22.0,32.0,0.419
0.0,,,,,0.0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493
0.0,,,,,1.0,test,2.0,18.0,20.0,6.0,10.0,0.149
0.0,,,,,1.0,test,2.0,24.0,30.0,12.0,18.0,0.223
0.0,,,,,1.0,test,4.0,34.0,44.0,16.0,22.0,0.306
0.0,,,,,1.0,test,8.0,44.0,56.00000000000001,22.0,32.0,0.401
0.0,,,,,1.0,test,10.0,56.00000000000001,66.0,28.000000000000004,44.0,0.498
0.0,,,,,2.0,test,2.0,18.0,20.0,6.0,10.0,0.146
0.0,,,,,2.0,test,4.0,30.0,34.0,10.0,18.0,0.247
0.0,,,,,2.0,test,4.0,38.0,44.0,14.000000000000002,26.0,0.325
0.0,,,,,2.0,test,8.0,56.00000000000001,64.0,26.0,44.0,0.495
0.0,,,,,2.0,test,8.0,62.0,76.0,32.0,50.0,0.564
0.0,,,,,3.0,test,2.0,18.0,18.0,6.0,10.0,0.144
0.0,,,,,3.0,test,4.0,20.0,24.0,10.0,14.000000000000002,0.179
0.0,,,,,3.0,test,6.0,30.0,38.0,14.000000000000002,24.0,0.282
0.0,,,,,3.0,test,10.0,40.0,54.0,24.0,36.0,0.392
0.0,,,,,3.0,test,12.0,50.0,66.0,34.0,44.0,0.491
0.0,,,,,4.0,test,2.0,14.000000000000002,16.0,6.0,8.0,0.114
0.0,,,,,4.0,test,4.0,26.0,30.0,18.0,22.0,0.235
0.0,,,,,4.0,test,6.0,38.0,42.0,22.0,32.0,0.339
0.0,,,,,4.0,test,10.0,46.0,52.0,32.0,42.0,0.427
0.0,,,,,4.0,test,12.0,57.99999999999999,72.0,36.0,48.0,0.546
0.0,,,,,5.0,test,0.0,10.0,16.0,2.0,6.0,0.096
0.0,,,,,5.0,test,0.0,18.0,30.0,6.0,10.0,0.177
0.0,,,,,5.0,test,2.0,30.0,42.0,12.0,20.0,0.281
0.0,,,,,5.0,test,8.0,42.0,57.99999999999999,20.0,30.0,0.405
0.0,,,,,5.0,test,10.0,56.00000000000001,70.0,28.000000000000004,42.0,0.517
0.0,,,,,6.0,test,0.0,12.0,14.000000000000002,2.0,6.0,0.091
0.0,,,,,6.0,test,0.0,18.0,22.0,4.0,14.000000000000002,0.151
0.0,,,,,6.0,test,0.0,24.0,36.0,8.0,20.0,0.225
0.0,,,,,6.0,test,2.0,38.0,50.0,14.000000000000002,28.000000000000004,0.339
0.0,,,,,6.0,test,6.0,50.0,66.0,24.0,40.0,0.462
0.0,,,,,7.0,test,0.0,14.000000000000002,18.0,4.0,6.0,0.113
0.0,,,,,7.0,test,4.0,24.0,28.000000000000004,8.0,16.0,0.202
0.0,,,,,7.0,test,4.0,34.0,40.0,10.0,24.0,0.287
0.0,,,,,7.0,test,6.0,44.0,52.0,18.0,32.0,0.384
0.0,,,,,7.0,test,8.0,52.0,62.0,26.0,42.0,0.477
0.0,,,,,8.0,test,0.0,10.0,14.000000000000002,0.0,4.0,0.078
0.0,,,,,8.0,test,2.0,16.0,24.0,6.0,10.0,0.144
0.0,,,,,8.0,test,4.0,28.000000000000004,40.0,8.0,18.0,0.245
0.0,,,,,8.0,test,6.0,42.0,56.00000000000001,18.0,30.0,0.375
0.0,,,,,8.0,test,8.0,56.00000000000001,72.0,26.0,42.0,0.503
0.0,,,,,9.0,test,2.0,16.0,22.0,4.0,6.0,0.132
